,,,,,,,,
,Sl. No.,States/UTs,2016,2017,2018,2019,,
,,,,,,Number,,Rank
,1,2,3,4,5,6,,7
,1,Andhra Pradesh,7851,7564,6998,7389,,7
,2,Arunachal Pradesh,103,103,134,108,,28
,3,Assam,2445,2474,2829,3019,,18
,4,Bihar,4425,5045,6244,6731,,8
,5,Chhattisgarh,3527,3878,4217,4603,,14
,6,Goa,316,306,248,283,,23
,7,Gujarat,7296,6739,7176,6726,,9
,8,Haryana,4636,4700,4806,4684,,13
,9,Himachal Pradesh,1000,907,926,930,,20
,10,Jammu & Kashmir,734,765,809,762,,21
,11,Jharkhand,2681,3034,3261,3414,,17
,12,Karnataka,10215,9739,10093,10060,,4
,13,Kerala,4064,3915,4069,4183,,16
,14,Madhya Pradesh,8774,9258,9721,10182,,3
,15,Maharashtra,11780,11220,12098,11787,,2
,16,Manipur,78,107,122,146,,26
,17,Meghalaya,146,140,165,169,,25
,18,Mizoram,61,55,39,46,,32
,19,Nagaland,41,35,35,24,,33
,20,Odisha,4036,4372,4861,4844,,12
,21,Punjab,4584,4139,4479,4190,,15
,22,Rajasthan,9282,9300,9295,9471,,6
,23,Sikkim,60,60,51,61,,30
,24,Tamil Nadu,16092,15061,11375,9813,,5
,25,Telangana,6617,6110,6051,6472,,10
,26,Tripura,165,153,194,224,,24
,27,Uttarakhand,801,727,797,750,,22
,28,Uttar Pradesh,16164,17706,19364,19731,,1
,29,West Bengal,6081,5199,5185,5120,,11
,30,Andaman & Nicobar Islands,16,20,18,20,,35
,31,Chandigarh,144,103,97,100,,29
,32,Dadra & Nagar Haveli,40,40,52,48,,31
,33,Daman & Diu,32,36,34,23,,34
,34,Delhi,1548,1565,1657,1433,,19
,35,Lakshadweep,1,0,1,0,,36
,36,Puducherry,235,221,225,143,,27
,Total,,"1,36,071","1,34,796","1,37,726","1,37,689",,
,,,,,,,,
,,,,,,,,84
